PlayerID,TeamID,Year,age,games_played,minutes_played,PTS,AST,turnovers,FG,FT,3P,3P_Attempt,ORB,DRB,PF
cartefr01,,1971,25,77,1707,799,165,0,0.417177914,0.650273224,0,183,0,0,165
chambwi01,LOS02,1971,34,82,3630,1696,352,0,0.544861338,0.538116592,0,669,0,0,174
chambje01,ATL01,1971,27,65,1168,580,61,0,0.450570342,0.791044776,0,134,0,0,119
chanedo01,BOS01,1971,24,81,2289,930,235,0,0.454308094,0.747603834,0,313,0,0,288
chapple01,CLE01,1971,30,6,86,41,1,0,0.394736842,0.785714286,0,14,0,0,9
chapple01,ATL01,1971,30,42,451,202,16,0,0.440993789,0.810810811,0,74,0,0,63
chrisbo01,ATL01,1971,24,54,524,150,30,0,0.433070866,0.625,0,64,0,0,118
clarkar01,PHI01,1971,29,82,3245,1746,440,0,0.496251874,0.787313433,0,536,0,0,217
clemeba01,SEA01,1971,27,78,1286,577,92,0,0.469581749,0.728070175,0,114,0,0,169
colliji01,CHI01,1971,24,55,478,219,60,0,0.429906542,0.777777778,0,45,0,0,43
cookejo01,CLE01,1971,22,73,725,316,93,0,0.392961877,0.813559322,0,59,0,0,135
countme01,PHO01,1971,29,80,1669,879,136,0,0.456821026,0.752525253,0,198,0,0,279
cowenda01,BOS01,1971,22,81,3076,1373,228,0,0.422427035,0.731903485,0,373,0,0,350
crawffr01,,1971,29,15,203,88,24,0,0.339622642,0.615384615,0,26,0,0,18
crawffr01,PHI01,1971,29,36,449,180,54,0,0.422857143,0.444444444,0,72,0,0,59
crosspe01,SEA01,1971,22,79,2194,630,113,0,0.442238267,0.689655172,0,203,0,0,212
cunnibi01,PHI01,1971,27,81,3090,1859,395,0,0.462146149,0.733870968,0,620,0,0,328
cunnidi01,MIL01,1971,24,76,675,201,43,0,0.415384615,0.661016949,0,59,0,0,90
dandrbo01,MIL01,1971,23,79,2862,1452,277,0,0.508997429,0.70212766,0,376,0,0,287
davisji01,ATL01,1971,29,82,1864,677,108,0,0.479125249,0.677083333,0,288,0,0,253
davismi01,,1971,24,73,1617,833,153,0,0.409560724,0.759541985,0,262,0,0,220
debusda01,NEW02,1971,30,81,2891,1263,220,0,0.420756235,0.695512821,0,312,0,0,237
dierkco01,,1971,34,1,23,6,1,0,0.1875,0,0,0,0,0,5
dierkco01,PHI01,1971,34,53,714,305,59,0,0.39869281,0.685393258,0,89,0,0,109
dinwibi01,BOS01,1971,27,61,717,300,34,0,0.375,0.72972973,0,74,0,0,90
dischte01,DET01,1971,30,65,1855,769,113,0,0.535211268,0.763033175,0,211,0,0,189
driscte01,DET01,1971,23,69,1255,372,54,0,0.41509434,0.701298701,0,154,0,0,212
eganjo01,CLE01,1971,32,26,410,105,58,0,0.408163265,0.892857143,0,28,0,0,31
eganjo01,,1971,32,36,414,71,54,0,0.3375,0.739130435,0,23,0,0,40
ellisjo01,,1971,26,80,2275,863,161,0,0.396436526,0.743842365,0,203,0,0,287
ellisle01,POR01,1971,30,74,2581,1179,235,0,0.442922374,0.800766284,0,261,0,0,258
englicl01,POR01,1971,24,18,70,27,6,0,0.261904762,0.714285714,0,7,0,0,15
erickke01,LOS02,1971,26,73,2272,823,223,0,0.471264368,0.758928571,0,112,0,0,241
fillmgr01,NEW02,1971,23,39,271,103,17,0,0.441176471,0.481481481,0,27,0,0,80
finkeha01,BOS01,1971,28,80,1234,521,79,0,0.437627812,0.732283465,0,127,0,0,196
fontale01,"""",1971,22,35,210,134,22,0,0.365517241,0.756756757,0,37,0,0,27
fordja01,SEA01,1971,25,5,68,34,9,0,0.36,0.727272727,0,22,0,0,11
fostefr01,,1971,24,1,21,7,0,0,0.375,0.333333333,0,3,0,0,2
fostefr01,PHI01,1971,24,66,888,362,61,0,0.402777778,0.699029126,0,103,0,0,113
foxji01,CHI01,1971,27,82,1628,799,196,0,0.458265139,0.744548287,0,321,0,0,213
fraziwa01,NEW02,1971,25,80,3455,1736,536,0,0.494305239,0.779174147,0,557,0,0,240
freemga01,MIL01,1971,22,41,335,152,31,0,0.508196721,0.736842105,0,38,0,0,63
freemga01,CLE01,1971,22,11,47,15,4,0,0.583333333,0.5,0,2,0,0,4
garredi01,,1971,24,75,2375,964,264,0,0.413525499,0.868525896,0,251,0,0,290
gillihe01,,1971,24,80,2082,898,291,0,0.421875,0.751322751,0,189,0,0,246
gilmowa01,POR01,1971,23,27,261,58,12,0,0.425925926,0.461538462,0,26,0,0,49
goodrga01,LOS02,1971,27,79,2808,1380,380,0,0.475298126,0.7696793,0,343,0,0,258
greacbo01,MIL01,1971,23,2,43,5,13,0,0.083333333,0.428571429,0,7,0,0,7
greenjo01,,1971,37,75,2147,1252,89,0,0.587134503,0.616915423,0,402,0,0,233
greenla01,PHO01,1971,23,68,1326,398,53,0,0.452574526,0.603773585,0,106,0,0,202
greerha01,PHI01,1971,34,81,3060,1508,369,0,0.43107221,0.804938272,0,405,0,0,289
gregoga01,POR01,1971,25,44,1153,421,81,0,0.429928741,0.662921348,0,89,0,0,120
guokama02,PHI01,1971,26,1,5,0,0,0,0,0,0,0,0,0,0
guokama02,CHI01,1971,26,78,2208,513,342,0,0.492822967,0.731884058,0,138,0,0,189
hairsha01,LOS02,1971,28,80,2921,1485,168,0,0.465531225,0.781902552,0,431,0,0,256
halimsh01,CHI01,1971,25,2,23,2,4,0,0.125,0,0,1,0,0,5
halimsh01,POR01,1971,25,79,1629,707,211,0,0.387096774,0.664596273,0,161,0,0,178
harriar01,PHO01,1971,24,56,952,467,132,0,0.411157025,0.610619469,0,113,0,0,137
haskicl01,PHO01,1971,27,82,2764,1462,383,0,0.44009397,0.784222738,0,431,0,0,207
havlijo01,BOS01,1971,30,81,3678,2338,607,0,0.450050454,0.8183161,0,677,0,0,200
hawkico01,PHO01,1971,28,71,2662,1481,322,0,0.433530906,0.816071429,0,560,0,0,197
hayesel01,,1971,25,82,3633,2350,186,0,0.427990971,0.671597633,0,676,0,0,225
haywosp01,SEA01,1971,21,33,1162,680,48,0,0.449050086,0.733944954,0,218,0,0,84
abdulma01,ATL01,1971,28,82,2877,1349,514,0,0.459147425,0.759036145,0,415,0,0,276
heardga01,SEA01,1971,22,65,1027,386,45,0,0.380952381,0.656,0,125,0,0,126
henryal01,PHI01,1971,21,6,26,7,0,0,0.166666667,0.714285714,0,7,0,0,1
hetzefr01,LOS02,1971,28,59,613,282,37,0,0.43359375,0.779220779,0,77,0,0,99
hewitbi01,DET01,1971,26,62,1725,475,124,0,0.466666667,0.575,0,120,0,0,189
holtaw01,CHI01,1971,24,6,14,4,0,0,0.125,0.666666667,0,3,0,0,1
hoskebi01,,1971,24,13,217,105,20,0,0.522222222,0.647058824,0,17,0,0,27
howargr01,PHO01,1971,23,44,426,173,26,0,0.393063584,0.637931034,0,58,0,0,67
howelba01,PHI01,1971,34,82,1589,878,115,0,0.472303207,0.73015873,0,315,0,0,234
hudsolo01,ATL01,1971,26,76,3113,2039,257,0,0.483946293,0.758964143,0,502,0,0,186
hummejo01,"""",1971,22,81,2637,913,163,0,0.443717277,0.580246914,0,405,0,0,284
hydergr01,,1971,22,77,1359,417,48,0,0.447432763,0.718309859,0,71,0,0,187
imhofda01,,1971,32,34,826,275,79,0,0.46124031,0.506849315,0,73,0,0,120
jackslu01,PHI01,1971,29,79,1774,529,148,0,0.376181474,0.693121693,0,189,0,0,211
jacksph01,NEW02,1971,25,71,771,331,31,0,0.448669202,0.714285714,0,133,0,0,169
johnsge01,,1971,23,24,337,93,10,0,0.41,0.366666667,0,30,0,0,63
johnsgu01,,1971,32,66,2538,1202,192,0,0.453211009,0.737931034,0,290,0,0,227
johnsjo01,CLE01,1971,23,67,2310,1110,323,0,0.421511628,0.805369128,0,298,0,0,251
johnsri01,BOS01,1971,24,1,13,8,0,0,0.8,0,0,0,0,0,3
jonesni01,,1971,25,81,1183,561,113,0,0.430210325,0.735099338,0,151,0,0,192
joneswa02,PHI01,1971,28,41,962,415,128,0,0.401913876,0.782178218,0,101,0,0,110
kauffbo01,"""",1971,24,78,2778,1591,354,0,0.470588235,0.740206186,0,485,0,0,263
killuea01,LOS02,1971,22,4,12,1,0,0,0,1,0,1,0,0,1
kimbato01,,1971,28,80,1100,273,62,0,0.386759582,0.472222222,0,108,0,0,128
kingji01,CHI01,1971,29,55,645,264,78,0,0.438596491,0.810126582,0,79,0,0,55
knighro01,POR01,1971,23,52,662,217,50,0,0.430434783,0.5,0,38,0,0,99
kojisdo01,SEA01,1971,32,79,2143,1157,130,0,0.445972495,0.778125,0,320,0,0,220
komivho01,DET01,1971,29,82,1932,671,262,0,0.384615385,0.801324503,0,151,0,0,184
kuberst01,BOS01,1971,23,82,1867,759,78,0,0.420134228,0.726775956,0,183,0,0,198
laceysa01,"""",1971,22,81,2648,1090,117,0,0.418084154,0.68722467,0,227,0,0,270
laniebo01,DET01,1971,22,82,2017,1281,146,0,0.454873646,0.72606383,0,376,0,0,272
lantzst01,,1971,24,82,3102,1689,344,0,0.448275862,0.805900621,0,644,0,0,230
leecl01,,1971,26,82,1392,499,63,0,0.453271028,0.557788945,0,199,0,0,137
lewisbo01,CLE01,1971,25,79,1852,467,244,0,0.369834711,0.717105263,0,152,0,0,176
longpa01,,1971,26,30,213,134,25,0,0.475,0.833333333,0,24,0,0,23
loughke01,,1971,30,82,2260,1237,301,0,0.403185247,0.83081571,0,331,0,0,246
lovebo01,CHI01,1971,28,81,3482,2043,185,0,0.447368421,0.828756058,0,619,0,0,259
lucasje01,,1971,30,80,3251,1535,293,0,0.4984,0.78746594,0,367,0,0,197
lynnmi01,,1971,25,5,25,7,1,0,0.285714286,1,0,3,0,0,9
mannied01,POR01,1971,27,79,1558,561,111,0,0.43470483,0.806451613,0,93,0,0,198
maravpe01,ATL01,1971,23,81,2926,1880,355,0,0.457532548,0.8,0,505,0,0,238
marinja01,,1971,26,82,2920,1542,217,0,0.460294118,0.847953216,0,342,0,0,261
marlaha01,DET01,1971,22,23,214,65,30,0,0.3125,0.833333333,0,18,0,0,27
masted01,NEW02,1971,22,30,164,61,4,0,0.378787879,0.55,0,20,0,0,25
maydo01,,1971,25,76,2666,1535,150,0,0.470808383,0.791428571,0,350,0,0,219
mccarwi01,LOS02,1971,24,76,1369,540,126,0,0.41722973,0.597402597,0,77,0,0,152
mcglojo01,MIL01,1971,27,82,2891,1292,305,0,0.534948742,0.862275449,0,167,0,0,189
mckenst01,POR01,1971,26,82,2290,1127,235,0,0.441241685,0.835858586,0,396,0,0,238
mclemmc01,CLE01,1971,28,58,1839,678,176,0,0.388379205,0.772727273,0,220,0,0,169
mclemmc01,MIL01,1971,28,28,415,132,30,0,0.368421053,0.829268293,0,41,0,0,66
mcmilji01,LOS02,1971,22,81,1747,678,133,0,0.459459459,0.769230769,0,130,0,0,122
meschto01,SEA01,1971,32,79,1822,732,108,0,0.463414634,0.75,0,216,0,0,202
mikanla01,CLE01,1971,22,53,536,158,41,0,0.333333333,0.618181818,0,55,0,0,56
milesed01,,1971,30,63,1541,622,110,0,0.426395939,0.802721088,0,147,0,0,119
mixst01,DET01,1971,23,35,731,290,34,0,0.445783133,0.764044944,0,89,0,0,72
monroea01,,1971,26,81,2843,1732,354,0,0.44170553,0.802371542,0,506,0,0,220
mooreot01,DET01,1971,24,82,1926,741,88,0,0.445402299,0.552511416,0,219,0,0,182
morgare01,BOS01,1971,22,34,266,117,22,0,0.401960784,0.648148148,0,54,0,0,58
mueller01,DET01,1971,26,52,1224,312,113,0,0.40776699,0.555555556,0,108,0,0,99
mullije01,"""",1971,28,75,2909,1562,332,0,0.481651376,0.843575419,0,358,0,0,246
murphca01,,1971,22,82,2020,1298,329,0,0.457725948,0.820276498,0,434,0,0,263
murredo01,POR01,1971,27,2,20,11,1,0,0.166666667,0.818181818,0,11,0,0,3
murredo01,,1971,27,69,696,220,31,0,0.447674419,0.653465347,0,101,0,0,146
nelsodo01,BOS01,1971,30,82,2254,1141,153,0,0.467650397,0.744131455,0,426,0,0,232
ogdenbu01,PHI01,1971,24,27,133,66,17,0,0.363636364,0.692307692,0,26,0,0,21
ogdenra01,,1971,23,32,162,42,9,0,0.23943662,0.666666667,0,12,0,0,17
paulkch01,"""",1971,24,68,1213,627,27,0,0.430141287,0.603053435,0,131,0,0,186
perrycu01,"""",1971,22,18,100,53,5,0,0.4375,0.55,0,20,0,0,22
petrige01,POR01,1971,22,82,3032,2031,390,0,0.442937853,0.771666667,0,600,0,0,196
portmbo01,,1971,23,68,1395,519,67,0,0.457556936,0.726415094,0,106,0,0,130
pricemi01,NEW02,1971,22,56,251,84,12,0,0.37037037,0.705882353,0,34,0,0,57
quickbo01,DET01,1971,24,56,1146,448,56,0,0.454545455,0.784090909,0,176,0,0,142
rackllu01,CLE01,1971,24,74,1434,559,66,0,0.465957447,0.636842105,0,190,0,0,186
reedwi01,NEW02,1971,28,73,2855,1527,148,0,0.461654135,0.784776903,0,381,0,0,228
rileybo01,ATL01,1971,22,7,39,13,1,0,0.444444444,0.555555556,0,9,0,0,5
rileypa01,LOS02,1971,25,54,506,266,72,0,0.413385827,0.643678161,0,87,0,0,84
riordmi01,NEW02,1971,25,82,1320,391,121,0,0.417525773,0.62037037,0,108,0,0,151
roberri01,LOS02,1971,23,65,909,338,47,0,0.415282392,0.615384615,0,143,0,0,125
roberos01,MIL01,1971,32,81,3194,1569,668,0,0.496227997,0.849889625,0,453,0,0,203
robinfl01,,1971,29,71,1368,943,138,0,0.457772338,0.855263158,0,228,0,0,161
ruffnpa01,CHI01,1971,22,10,60,34,2,0,0.428571429,0.5,0,8,0,0,10
rulebo01,SEA01,1971,26,4,142,119,7,0,0.479591837,0.833333333,0,30,0,0,14
russeca01,NEW02,1971,26,57,1056,524,77,0,0.428571429,0.773109244,0,119,0,0,74
sandeto01,BOS01,1971,32,17,121,39,11,0,0.363636364,0.875,0,8,0,0,25
schluda01,POR01,1971,25,80,1823,657,192,0,0.487666034,0.655963303,0,218,0,0,265
siegfla01,"""",1971,31,53,1673,422,346,0,0.386243386,0.849673203,0,153,0,0,146
silaspa01,PHO01,1971,27,81,2944,961,247,0,0.428390368,0.685096154,0,416,0,0,227
sillimi01,,1971,26,36,366,91,23,0,0.455696203,0.487179487,0,39,0,0,37
sloanje01,CHI01,1971,28,80,3140,1462,281,0,0.441132638,0.714652956,0,389,0,0,289
smithad01,,1971,34,21,247,111,30,0,0.426966292,0.853658537,0,41,0,0,24
smithbi02,CLE01,1971,24,77,2332,1168,258,0,0.44755877,0.760683761,0,234,0,0,175
smithga01,BOS01,1971,25,37,281,106,9,0,0.362068966,0.392857143,0,56,0,0,53
smithgr01,MIL01,1971,24,82,2428,959,227,0,0.511889862,0.661971831,0,213,0,0,284
snydedi01,SEA01,1971,26,82,2824,1592,352,0,0.530864198,0.836565097,0,361,0,0,249
sorenda01,CLE01,1971,22,79,1940,890,163,0,0.444584383,0.80349345,0,229,0,0,181
stallda01,NEW02,1971,29,81,1565,759,106,0,0.430656934,0.734782609,0,230,0,0,175
stewade01,"""",1971,23,2,6,4,1,0,0.25,1,0,2,0,0,0
stricbi01,POR01,1971,23,1,2,4,0,0,0.666666667,0,0,0,0,0,1
suitega01,CLE01,1971,26,30,140,42,2,0,0.351851852,0.444444444,0,9,0,0,20
taylofr01,PHO01,1971,22,54,552,298,51,0,0.387323944,0.624,0,125,0,0,113
thomajo01,PHO01,1971,22,39,204,55,17,0,0.26744186,0.45,0,20,0,0,19
thornro01,SEA01,1971,29,63,767,351,182,0,0.471571906,0.676470588,0,102,0,0,60
thurmna01,,1971,29,82,3351,1641,257,0,0.44468237,0.73012939,0,541,0,0,192
tomjaru01,,1971,22,77,1062,409,73,0,0.382687927,0.651785714,0,112,0,0,124
trappjo01,"""",1971,25,82,2080,786,138,0,0.420365535,0.755319149,0,188,0,0,337
tresvjo01,LOS02,1971,31,8,66,43,10,0,0.514285714,0.7,0,10,0,0,11
tresvjo01,,1971,31,67,1451,507,76,0,0.458852868,0.712820513,0,195,0,0,185
tuckeal01,,1971,27,31,276,129,7,0,0.452173913,0.806451613,0,31,0,0,33
turnebi01,,1971,26,18,200,65,8,0,0.317073171,0.65,0,20,0,0,24
unselwe01,,1971,24,74,2904,1047,293,0,0.501182033,0.656765677,0,303,0,0,235
vallejo01,ATL01,1971,22,51,430,191,47,0,0.357843137,0.762711864,0,59,0,0,50
vanardi01,PHO01,1971,27,81,3157,1771,329,0,0.452451709,0.81085044,0,682,0,0,246
vanarto01,,1971,27,82,3146,1875,181,0,0.456151035,0.7208413,0,523,0,0,294
vanlino01,,1971,23,82,3324,1315,832,0,0.420035149,0.815909091,0,440,0,0,343
walkne01,PHO01,1971,22,82,2033,1057,117,0,0.450793651,0.764925373,0,268,0,0,282
walkech01,CHI01,1971,30,81,2927,1780,179,0,0.464949928,0.858676208,0,559,0,0,187
walkeji01,DET01,1971,26,79,2765,1392,268,0,0.436303081,0.830917874,0,414,0,0,173
warneco01,,1971,22,65,1293,391,53,0,0.414893617,0.552447552,0,143,0,0,140
warrejo01,CLE01,1971,23,82,2610,940,347,0,0.42269188,0.829493088,0,217,0,0,299
washibo01,CLE01,1971,23,47,823,350,190,0,0.396774194,0.742857143,0,140,0,0,105
washiji01,PHI01,1971,27,78,2501,1049,97,0,0.476477684,0.761764706,0,340,0,0,258
webbje01,MIL01,1971,22,29,300,65,19,0,0.346153846,0.733333333,0,15,0,0,33
weissbo01,CHI01,1971,28,82,2237,782,387,0,0.42185129,0.840148699,0,269,0,0,216
weslewa01,CLE01,1971,26,82,2425,1455,83,0,0.455278002,0.687103594,0,473,0,0,295
westje01,LOS02,1971,32,69,2845,1859,655,0,0.493708364,0.832012678,0,631,0,0,180
wetzejo01,PHO01,1971,26,70,1091,331,114,0,0.430555556,0.821782178,0,101,0,0,156
whitehe01,ATL01,1971,22,38,315,90,47,0,0.404761905,0.564102564,0,39,0,0,62
whitejo01,BOS01,1971,24,75,2787,1601,361,0,0.463855422,0.799256506,0,269,0,0,255
wilkele01,SEA01,1971,33,71,2641,1403,654,0,0.418666667,0.803135889,0,574,0,0,201
williar01,BOS01,1971,31,74,1141,360,233,0,0.454545455,0.722891566,0,83,0,0,182
willibe01,,1971,25,56,708,292,113,0,0.331360947,0.839506173,0,81,0,0,76
willimi01,NEW02,1971,25,5,13,4,2,0,1,0.666666667,0,3,0,0,3
williro01,,1971,26,82,2809,1183,480,0,0.436028659,0.844387755,0,392,0,0,301
williwi01,BOS01,1971,24,16,56,15,2,0,0.1875,0.6,0,5,0,0,8
williwi01,"""",1971,24,9,49,8,6,0,0.4,0,0,0,0,0,6
wilsoge01,"""",1971,28,46,713,240,48,0,0.342007435,0.811594203,0,69,0,0,99
winfile01,SEA01,1971,23,79,1605,830,225,0,0.466480447,0.663934426,0,244,0,0,135
winklma01,MIL01,1971,22,3,14,8,2,0,0.3,1,0,2,0,0,3
zellega01,,1971,23,50,226,83,7,0,0.295652174,0.535714286,0,28,0,0,43
zopfbi01,MIL01,1971,22,53,398,118,73,0,0.362962963,0.555555556,0,36,0,0,34
abdulza01,SEA01,1972,25,58,1780,798,124,0,0.428761651,0.719626168,0,214,0,0,178
abdulka01,MIL01,1972,24,81,3583,2822,370,0,0.574046558,0.68852459,0,732,0,0,235
adamsdo01,HOU01,1972,24,3,41,13,3,0,0.315789474,0.5,0,2,0,0,7
adamsdo01,ATL01,1972,24,70,2030,818,137,0,0.394094994,0.747252747,0,273,0,0,259
adelmri01,POR01,1972,25,80,2445,809,413,0,0.436918991,0.751243781,0,201,0,0,209
allenlu01,MIL01,1972,24,80,2316,1080,333,0,0.504576659,0.764478764,0,259,0,0,214
allisod01,GOL01,1972,22,36,166,67,10,0,0.217948718,0.540983607,0,61,0,0,34
architi01,,1972,23,76,3272,2145,701,0,0.485771013,0.821601942,0,824,0,0,198
awtrede01,PHI01,1972,23,58,794,245,51,0,0.441441441,0.644736842,0,76,0,0,141
barnedi01,NEW02,1972,35,79,2256,964,198,0,0.436819172,0.753488372,0,215,0,0,229
barneji02,GOL01,1972,27,80,2200,992,309,0,0.408743169,0.835616438,0,292,0,0,189
bartovi01,GOL01,1972,23,38,165,34,3,0,0.254237288,0.8,0,5,0,0,22
bayloel01,LOS02,1972,37,9,239,106,18,0,0.432989691,0.814814815,0,27,0,0,20
beardbu01,CLE01,1972,24,68,2434,1048,456,0,0.464075383,0.760233918,0,342,0,0,213
bellawa01,ATL01,1972,32,82,3187,1526,262,0,0.544536272,0.585197935,0,581,0,0,255
bingda01,DET01,1972,28,45,1936,1016,317,0,0.414141414,0.785310734,0,354,0,0,138
blockjo01,MIL01,1972,27,79,1524,672,95,0,0.439622642,0.749090909,0,275,0,0,213
boerwto01,CHI01,1972,26,80,2022,556,281,0,0.438,0.655555556,0,180,0,0,253
bradlbi01,NEW02,1972,28,78,2780,1177,315,0,0.464516129,0.849246231,0,199,0,0,254
bridgbi01,ATL01,1972,32,14,546,133,40,0,0.380597015,0.704545455,0,44,0,0,50
bridgbi01,PHI01,1972,32,64,2210,847,158,0,0.508527132,0.702205882,0,272,0,0,219
brownfr01,SEA01,1972,23,33,359,140,60,0,0.327777778,0.75862069,0,29,0,0,44
bryanem01,"""",1972,33,54,1223,277,206,0,0.459090909,0.6,0,125,0,0,167
carrau01,CLE01,1972,23,43,1539,911,148,0,0.426174497,0.760204082,0,196,0,0,99
cartefr01,,1972,26,2,68,15,12,0,0.222222222,0.333333333,0,9,0,0,7
cartefr01,PHI01,1972,26,77,2147,1059,199,0,0.443995964,0.63028169,0,284,0,0,235
catlesi01,,1972,23,9,40,6,1,0,0.222222222,0.222222222,0,9,0,0,3
chambwi01,LOS02,1972,35,82,3469,1213,329,0,0.64921466,0.421755725,0,524,0,0,196
chambje01,,1972,28,26,369,178,23,0,0.433333333,0.6875,0,32,0,0,39
chanedo01,BOS01,1972,25,79,2275,943,202,0,0.474554707,0.77254902,0,255,0,0,295
cheniph01,,1972,21,81,2481,996,205,0,0.414882773,0.736842105,0,247,0,0,191
chrisbo01,ATL01,1972,25,56,485,176,28,0,0.464788732,0.721311475,0,61,0,0,77
clarkar01,PHI01,1972,30,1,42,29,7,0,0.6875,0.636363636,0,11,0,0,3
clarkar01,"""",1972,30,76,3243,1909,606,0,0.467333333,0.772865854,0,656,0,0,191
cleamji01,LOS02,1972,22,38,201,98,35,0,0.35,0.777777778,0,36,0,0,21
clemeba01,SEA01,1972,28,82,1447,580,64,0,0.520661157,0.844444444,0,90,0,0,198
colliji01,CHI01,1972,25,19,134,62,10,0,0.366197183,0.909090909,0,11,0,0,11
countme01,PHO01,1972,30,76,906,395,96,0,0.427325581,0.721428571,0,140,0,0,159
cowenda01,BOS01,1972,23,79,3186,1489,245,0,0.484156227,0.720164609,0,243,0,0,314
crosspe01,SEA01,1972,23,74,1424,407,63,0,0.428169014,0.735714286,0,140,0,0,135
cunnibi01,PHI01,1972,28,75,2900,1744,443,0,0.460784314,0.712146423,0,601,0,0,295
cunnidi01,HOU01,1972,25,63,720,171,57,0,0.385057471,0.698113208,0,53,0,0,76
dandrbo01,MIL01,1972,24,80,2957,1475,249,0,0.498417722,0.738831615,0,291,0,0,297
davisch01,CLE01,1972,22,61,1144,600,123,0,0.402460457,0.840236686,0,169,0,0,143
davisji01,ATL01,1972,30,11,119,26,8,0,0.242424242,0.555555556,0,18,0,0,14
davisji01,HOU01,1972,30,12,180,62,5,0,0.333333333,0.684210526,0,38,0,0,18
davisji01,DET01,1972,30,52,684,306,38,0,0.482071713,0.653061224,0,98,0,0,106
davismi01,,1972,25,62,1068,564,82,0,0.425149701,0.766666667,0,180,0,0,141
debusda01,NEW02,1972,31,80,3072,1233,291,0,0.426929392,0.728301887,0,265,0,0,219
dinkija01,CHI01,1972,22,18,89,45,7,0,0.414634146,0.55,0,20,0,0,10
dinwibi01,MIL01,1972,28,23,144,37,9,0,0.280701754,0.555555556,0,9,0,0,23
dischte01,DET01,1972,31,79,2062,746,92,0,0.513937282,0.78,0,200,0,0,289
driscte01,"""",1972,24,40,313,107,23,0,0.384615385,0.692307692,0,39,0,0,53
durreke01,,1972,23,19,233,83,14,0,0.392405063,0.75,0,28,0,0,41
eganjo01,HOU01,1972,33,38,437,110,51,0,0.403846154,0.8125,0,32,0,0,55
ellisjo01,GOL01,1972,27,78,1462,655,97,0,0.411160059,0.71969697,0,132,0,0,224
ellisle01,LOS02,1972,31,74,1081,342,46,0,0.46,0.694736842,0,95,0,0,115
erickke01,LOS02,1972,27,15,262,86,35,0,0.481927711,0.857142857,0,7,0,0,26
fillmgr01,NEW02,1972,24,10,67,15,3,0,0.259259259,0.333333333,0,3,0,0,17
finkeha01,BOS01,1972,29,78,736,249,61,0,0.405511811,0.581081081,0,74,0,0,118
fordja01,SEA01,1972,26,26,181,92,26,0,0.5,0.787878788,0,33,0,0,21
fostefr01,PHI01,1972,25,74,1699,879,90,0,0.414575866,0.761316872,0,243,0,0,184
foxji01,CHI01,1972,28,10,133,60,6,0,0.377358491,0.714285714,0,28,0,0,21
